NUM,Sci_WellID,ObjectLabelsFound,Sci_SampleID,Timepoint,Time,Censored,Event,MeasurementTag,0,15,29,39,53,63,87,111,161
5,A1,11,EV,2,15,FALSE,TRUE,GFP,335.8073289,411.9828867,NA,NA,NA,NA,NA,NA,NA
6,A1,11,EV,2,15,FALSE,TRUE,RFP,6.557686802,10.72821437,NA,NA,NA,NA,NA,NA,NA
7,A1,12,EV,2,15,FALSE,TRUE,GFP,813.8688355,1541.147472,1984.061824,487.4360387,517.86359,527.0834833,619.4675874,594.5579102,582.0512856
8,A1,12,EV,2,15,FALSE,TRUE,RFP,6.786708559,10.86229811,12.22491256,14.76285905,23.45211354,28.34153169,39.79777339,50.99102281,73.62974288
41,A10,14,mito_DrpK38A,2,15,FALSE,TRUE,GFP,117.6656508,230.2288365,235.420071,265.9071429,230.3596288,NA,NA,NA,NA
42,A10,14,mito_DrpK38A,2,15,FALSE,TRUE,RFP,12.75489769,14.78507924,22.29040853,26.1047619,26.52784223,NA,NA,NA,NA
111,A11,9,mito_Nrf,2,15,FALSE,TRUE,GFP,792.0546993,1392.895294,559.8807763,587.9660297,NA,NA,NA,NA,NA
112,A11,9,mito_Nrf,2,15,FALSE,TRUE,RFP,49.66968873,52.05827361,90.22273567,90.69957537,NA,NA,NA,NA,NA
79,A11,15,mito_Nrf,2,15,FALSE,TRUE,GFP,697.3884865,1660.438299,1911.84377,1951.40846,1944.690621,NA,NA,NA,NA
80,A11,15,mito_Nrf,2,15,FALSE,TRUE,RFP,144.5036218,213.5535673,187.6331989,187.4129364,612.228989,NA,NA,NA,NA
177,A2,3,EV_Drp,2,15,FALSE,TRUE,GFP,667.9812398,882.9598196,1097.503653,NA,NA,NA,NA,NA,NA
178,A2,3,EV_Drp,2,15,FALSE,TRUE,RFP,4.115008157,6.656416564,5.713794585,NA,NA,NA,NA,NA,NA
139,A2,10,EV_Drp,2,15,FALSE,TRUE,GFP,188.7198481,330.4196078,NA,NA,NA,NA,NA,NA,NA
140,A2,10,EV_Drp,2,15,FALSE,TRUE,RFP,5.204178538,8.266666667,NA,NA,NA,NA,NA,NA,NA
235,A3,3,EV_DrpK38A,2,15,FALSE,TRUE,GFP,319.1622378,594.6883562,499.5568016,509.7285647,450.5886171,485.9314707,NA,NA,NA
236,A3,3,EV_DrpK38A,2,15,FALSE,TRUE,RFP,4.811188811,6.851027397,6.012676743,6.484604453,8.800798802,9.612018977,NA,NA,NA
271,A3,8,EV_DrpK38A,2,15,FALSE,TRUE,GFP,347.2025806,1065.469481,964.4592562,952.8298531,NA,NA,NA,NA,NA
272,A3,8,EV_DrpK38A,2,15,FALSE,TRUE,RFP,4.819354839,6.922177009,6.267028834,5.988012374,NA,NA,NA,NA,NA
207,A3,17,EV_DrpK38A,2,15,FALSE,TRUE,GFP,484.3615486,1057.070554,1156.98645,1216.719081,1126.22285,NA,NA,NA,NA
208,A3,17,EV_DrpK38A,2,15,FALSE,TRUE,RFP,5.077427822,6.729544341,5.481481481,6.222173145,9.657878217,NA,NA,NA,NA
209,A3,18,EV_DrpK38A,2,15,FALSE,TRUE,GFP,622.0702403,657.5093815,NA,NA,NA,NA,NA,NA,NA
210,A3,18,EV_DrpK38A,2,15,FALSE,TRUE,RFP,5.211953173,6.520500347,NA,NA,NA,NA,NA,NA,NA
221,A3,23,EV_DrpK38A,2,15,FALSE,TRUE,GFP,359.4835372,474.9331307,420.2644426,425.3669803,387.8154362,NA,NA,NA,NA
222,A3,23,EV_DrpK38A,2,15,FALSE,TRUE,RFP,5.073377234,7.992907801,6.867371847,6.448246364,11.54474273,NA,NA,NA,NA
223,A3,24,EV_DrpK38A,2,15,FALSE,TRUE,GFP,864.0530582,1026.324665,964.0994764,864.3710089,NA,NA,NA,NA,NA
224,A3,24,EV_DrpK38A,2,15,FALSE,TRUE,RFP,4.93072955,7.654058314,6.88631264,5.87037037,NA,NA,NA,NA,NA
239,A3,31,EV_DrpK38A,2,15,FALSE,TRUE,GFP,349.4227441,NA,NA,NA,NA,NA,NA,NA,NA
240,A3,31,EV_DrpK38A,2,15,FALSE,TRUE,RFP,5.111248455,NA,NA,NA,NA,NA,NA,NA,NA
241,A3,32,EV_DrpK38A,2,15,FALSE,TRUE,GFP,346.4475921,512.4666096,602.3715356,537.8088803,NA,NA,NA,NA,NA
242,A3,32,EV_DrpK38A,2,15,FALSE,TRUE,RFP,5.602455146,7.254280822,6.91011236,6.38030888,NA,NA,NA,NA,NA
245,A3,34,EV_DrpK38A,2,15,FALSE,TRUE,GFP,881.4666667,1081.882353,1115.621118,1128.337316,986.2613855,NA,NA,NA,NA
246,A3,34,EV_DrpK38A,2,15,FALSE,TRUE,RFP,6.620338983,7.867201426,6.896698267,6.855240696,10.5035279,NA,NA,NA,NA
253,A3,38,EV_DrpK38A,2,15,FALSE,TRUE,GFP,422.0304054,415.9511173,NA,NA,NA,NA,NA,NA,NA
254,A3,38,EV_DrpK38A,2,15,FALSE,TRUE,RFP,5.831925676,9.019553073,NA,NA,NA,NA,NA,NA,NA
317,A4,9,EV_Nrf,2,15,FALSE,TRUE,GFP,496.9066986,896.4643875,795.898998,839.0331611,839.8903151,NA,NA,NA,NA
318,A4,9,EV_Nrf,2,15,FALSE,TRUE,RFP,5.982655502,7.450712251,6.869739479,7.829457364,10.68961494,NA,NA,NA,NA
365,A5,4,mito_EV,2,15,FALSE,TRUE,GFP,2128.915692,2285.082131,3524.773491,3217.070707,1665.001214,1612.63615,NA,NA,NA
366,A5,4,mito_EV,2,15,FALSE,TRUE,RFP,247.2424615,142.3609932,183.6754823,170.557041,445.2864078,411.9941315,NA,NA,NA
375,A5,9,mito_EV,2,15,FALSE,TRUE,GFP,1345.859851,1688.059824,1531.869427,NA,NA,NA,NA,NA,NA
376,A5,9,mito_EV,2,15,FALSE,TRUE,RFP,176.0126364,167.1153963,122.3694268,NA,NA,NA,NA,NA,NA
345,A5,21,mito_EV,2,15,FALSE,TRUE,GFP,984.7989024,1503.029437,1383.588409,1429.129689,2074.604008,1933.215008,2020.185699,NA,NA
346,A5,21,mito_EV,2,15,FALSE,TRUE,RFP,299.626029,358.6204359,394.8738932,393.6160236,1052.209924,972.1365936,984.2123799,NA,NA
349,A5,23,mito_EV,2,15,FALSE,TRUE,GFP,479.1953125,639.662237,634.8772973,619.2294211,563.7385458,564.8698808,NA,NA,NA
350,A5,23,mito_EV,2,15,FALSE,TRUE,RFP,56.553125,56.4496124,43.68972973,41.74402549,43.61752988,40.93312597,NA,NA,NA
361,A5,29,mito_EV,2,15,FALSE,TRUE,GFP,746.923836,1174.483637,796.1391252,NA,NA,NA,NA,NA,NA
